recipe_id,recipe_name,recipe_item_ids,ingredients,recipe_link
cmVjaXBlOjY1MTc0NQ==,Carrot & Radish Coins,"['cmVjaXBlSXRlbTo0ODc4MTIz', 'cmVjaXBlSXRlbTo0ODc4MTI0']","carrot, coin PF, SEND TO PLATE | radishes, sliced, SEND TO PLATE | ",https://app.galleysolutions.com/recipes/cmVjaXBlOjY1MTc0NQ==
cmVjaXBlOjQ5NTI1NQ==,Carrot Sticks PF,['cmVjaXBlSXRlbTozMzEyOTg4'],"carrot, stick, PF, SEND TO PLATE | ",https://app.galleysolutions.com/recipes/cmVjaXBlOjQ5NTI1NQ==
cmVjaXBlOjQ5NTI1NA==,Celery Sticks PF,['cmVjaXBlSXRlbTozMzEyOTg5'],"celery, stick PF, SEND TO PLATE | ",https://app.galleysolutions.com/recipes/cmVjaXBlOjQ5NTI1NA==
cmVjaXBlOjE4NjI4MA==,Dried Fruit - Golden Raisins & Blueberries,"['cmVjaXBlSXRlbToxMzM5OTA1', 'cmVjaXBlSXRlbToxMTk5NDky']","dried fruit, golden raisins | dried fruit, blueberries | ",https://app.galleysolutions.com/recipes/cmVjaXBlOjE4NjI4MA==
cmVjaXBlOjE3ODA0Ng==,Blistered Grape Tomatoes,"['cmVjaXBlSXRlbToxMTU1NTI5', 'cmVjaXBlSXRlbToxNDQ0MTU1']","tomato, grape | oil, rice bran | ",https://app.galleysolutions.com/recipes/cmVjaXBlOjE3ODA0Ng==
cmVjaXBlOjQ1MTI0OQ==,Grape Tomatoes,['cmVjaXBlSXRlbToyOTc3MTg4'],"tomato, grape | ",https://app.galleysolutions.com/recipes/cmVjaXBlOjQ1MTI0OQ==
cmVjaXBlOjE2OTE1Mw==,Greens - Baby Kale & Arugula,"['cmVjaXBlSXRlbToxMTA5NzI2', 'cmVjaXBlSXRlbToxMTA5NzI3']","arugula, baby, SEND TO PLATE | kale, baby, SEND TO PLATE | ",https://app.galleysolutions.com/recipes/cmVjaXBlOjE2OTE1Mw==
cmVjaXBlOjIwMzIyNA==,Greens - Baby Kale & Baby Spinach,"['cmVjaXBlSXRlbTozMjk3NDU5', 'cmVjaXBlSXRlbTozMjk3NDYw']","baby kale & baby spinach, SEND TO PLATE (baby kale) | baby kale & baby spinach, SEND TO PLATE (spinach) | ",https://app.galleysolutions.com/recipes/cmVjaXBlOjIwMzIyNA==
cmVjaXBlOjU5ODUzMA==,Greens - Baby Kale & Lacinato Kale,"['cmVjaXBlSXRlbTo0MTYzNjg0', 'cmVjaXBlSXRlbTo0MTYzNjg1']","kale, baby, SEND TO PLATE | kale, lacinato, shredded PF, SEND TO PLATE | ",https://app.galleysolutions.com/recipes/cmVjaXBlOjU5ODUzMA==
cmVjaXBlOjE3OTg5Ng==,Greens - Baby Kale & Radish,"['cmVjaXBlSXRlbToxMTY0MDI4', 'cmVjaXBlSXRlbToxMTY0MDI5']","kale, baby, SEND TO PLATE | radish, shredded PF, SEND TO PLATE | ",https://app.galleysolutions.com/recipes/cmVjaXBlOjE3OTg5Ng==
cmVjaXBlOjQ4ODU0OA==,Greens - Baby Spinach & Shredded Brussels Sprouts,"['cmVjaXBlSXRlbTozMjU4Mjk1', 'cmVjaXBlSXRlbTozMjU4Mjk0']","spinach, baby, SEND TO PLATE | brussels sprouts, shredded PF, SEND TO PLATE | ",https://app.galleysolutions.com/recipes/cmVjaXBlOjQ4ODU0OA==
cmVjaXBlOjE4NDM1OQ==,Greens - Baby Spinach & Shredded Cabbage,"['cmVjaXBlSXRlbToxMTg3Nzg2', 'cmVjaXBlSXRlbTozNzc2MDIx']","spinach, baby, SEND TO PLATE | cabbage, green, shredded PF, SEND TO PLATE | ",https://app.galleysolutions.com/recipes/cmVjaXBlOjE4NDM1OQ==
cmVjaXBlOjE3ODAxNA==,"Greens - Baby Spinach, Shredded Carrot & Red Cabbage","['cmVjaXBlSXRlbToxMTU1MzA3', 'cmVjaXBlSXRlbToxMTU1MzA4', 'cmVjaXBlSXRlbToxMTU1MzA5']","spinach, baby, SEND TO PLATE | carrot, shredded PF, SEND TO PLATE | cabbage red, shredded PF, SEND TO PLATE | ",https://app.galleysolutions.com/recipes/cmVjaXBlOjE3ODAxNA==
